External ID,Name,Location,Area of interest,Account Information,Documentation and Requirements,Grant Amount,Due Date,EIN,Application Status,Outreach,Research_Links__c,Internal_Notes__c,Relationship,Contact 1 NameRaw,Contact 2 NameRaw,Contact 3 NameRaw,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,Source_Sheet__c
kars4kids,Kars4Kids,Nationwide,"Supporting educational initiatives, youth development, mentorship, and community programs for children and young people.",Kars4Kids Application,"Applicant must be a U.S.-based, IRS-recognized 501(c)(3) nonprofit organization.","$500 to $2,000",Open year-round,22-3746050,Submitted  4/10/2026,,,,,,,,,,,kars4kidscs@kars4kids.org,,,Foundation Potential (Rolling)
robinhoodfoundation,Robin Hood Foundation,New York City (five boroughs only),"Poverty, youth development, education, mental health",Robinhood Grant Application,Organizations must serve populations and operate within the five boroughs.,"$100,000 - $1,600,000",Open year-round,13-3441066,Submitted 4/10/2026,,https://forms.robinhood.org/4718627?_gl=1*gywq7p*_gcl_au*NDI3NzUxNzAwLjE3NzAxNDM3NjI.,,,,,,,,,Info@robinhood.org,,,Foundation Potential (Rolling)
tigerfoundation,Tiger Foundation,Five boroughs of New York City,"Youth organizing, education equity, mental health",Tiger Foundation Portal,Applicants must be exempt from income taxes under section 501(c)(3) of the Internal Revenue Code.,"$50,000 - $300,000 (Average $200,000)",Open year-round,13-3532729,Submitted 5/26/2026,,https://rftf.givingdata.com/portal/campaign/TigerFoundationLOI?panelMode=signIn,,,,,,,,,info@tigerfoundation.org,,,Foundation Potential (Rolling)
firsthorizonfoundation,First Horizon Foundation ,New York City,"Community well-being, financial education, economic opportunity, workforce development, education and leadership development, arts and culture, environmental sustainability.",First Horizon Application,"Tax info, basic org info, community served info, impact focus/areas.","$5,000 to $25,000",Rolling,62-1533987,In Progress,,https://firsthorizon.kadince.com/external/forms/c8daa6735c1ce25bb7d964156575deed,,,Abbey Lane,,,Abbey Lane,,,abbey.lane@firsthorizon.com,,,Foundation Potential (Rolling)
ichigofoundation,Ichigo Foundation,New York City and California,"College access, educational equity, first-generation student success, career readiness, economic mobility, youth development.",Ichigo LOI,U.S.-based 501(c)(3) nonprofits focused on college access and postsecondary success.,"$25,000-$250,000",Rolling,83-3528175,In Progress,,https://app.trytemelio.com/form/bf5e5e55-bff0-434c-bd95-c1523c0524ea,,,Janel Callon,,,Janel Callon,,,Janel.Callon@ichigofoundation.org,,,Foundation Potential (Rolling)
theawesomefoundation,The Awesome Foundation,Global,"Supporting ""awesome"" ideas that make the world a better place.",Awesome Application,"Your idea must be ""awesome"" — creative, inspiring, and community-focused.","$1,000",Open year-round (new cycle every month),82-4030772,In Progress,,https://www.awesomefoundation.org/submissions/new?chapter=nyc,,,,,,,,,info@awesomefoundation.org,,,Foundation Potential (Rolling)
foresthillsstadiumcommunityfund,Forest Hills Stadium Community Fund,Forest Hills and the greater Queens area,"Education, health, culture, neighborhood beautification, and economic development",Forest Hills Application,Be a registered 501(c)(3) or a local school.,"Tier 1: up to $5000
Tier 2: $5000 - $10,000
Tier 3: $10,000 - $15,000",Rolling,26-4164715,In Progress,,https://docs.google.com/forms/d/e/1FAIpQLSfN04-OLmr0PErxzvhKSl6hpGSBeUS9BmSlIq-NDzXIJxtjiw/viewform,,,Alexa Arrechi,,,Alexa Arrechi,,,Alexa@lemmastrategies.com,,,Foundation Potential (Rolling)
markwahlbergyouthfoundation,Mark Wahlberg Youth Foundation,United States,"Youth development, education, after-school and enrichment programs, underserved/inner-city youth, mentorship, scholarships.",Grant Pre-Application,"Must be a 501(c)(3) nonprofit organization with focus on underserved, at-risk youth.",$50k,Rolling,04-3567369,,,https://www.markwahlbergyouthfoundation.org/grant-app,,,James Wahlberg,,,James Wahlberg,,,jwahlberg@wahlst.com,,,Foundation Potential (Rolling)
thetonyrobbinsfoundations,The Tony Robbins Foundations,New York City,"Youth, seniors, hunger, homelessness, incarcerated populations, international food brigades, education access, open-source learning technology",Portal,501(c)(3) status (or global equivalent); Active for at least 1 fiscal year.,"Median grant amount $50,000 (Instrumentl)",TBA,33-0492446,,,"https://www.thetonyrobbinsfoundation.org/support/grants/
https://www.instrumentl.com/990-report/the-tony-robbins-foundation-b2516218-035f-4519-ba07-16b88d64b727",,,John Messmore,,,John Messmore, Deanna Garza-Brown,,foundation@thetonyrobbinsfoundation.org, JohnM@thetonyrobbinsfoundation.org,,Foundation Potential (Rolling)
tdcharitablefoundation,TD Charitable Foundation,United States,"Affordable housing, rental relief, financial literacy, workforce readiness, career upskilling, community development.",Portal,501(c)(3) or public school entity located inside a TD Bank market footprint.,"$25,000-100,000",Rolling,14-1864317,,,https://www.cybergrants.com/pls/cybergrants/np_portal.turnstile?x_source_flag=&x_gm_id=7402&x_proposal_type_id=92128&x_invitation_id=&x_org_id=&x_style_id=&x_language_code=en-US,,,,,,,,,us-charitablegiving@td.com,,,Foundation Potential (Rolling)
venablefoundation,Venable Foundation,United States,"Human services, homelessness, food insecurity, domestic violence, legal services, pro bono defense, early childhood development, educational equity",Portal,501(c)(3) status; Operates in a Venable LLP geographic market; Non-discriminatory practices.,"$1,000-$10,000",Rolling,52-1283255,,,https://venable.smartsimple.com/s_Login.jsp,,,Michael Bigley,,,Michael Bigley,,,mwbigley@Venable.com,,,Foundation Potential (Rolling)
carmelhillfund,Carmel Hill Fund,New York City,"Youth literacy, youth mental health and wellbeing, educational equity for underserved NYC youth.",No Application; Reach to start conversation,"Must serve youth in New York City, particularly underserved or historically marginalized communities.","$25,000 - $250,000",Invite only,13-6881103,,,,,,Hazel Guzman,,,Hazel Guzman,,,hguzman@carmelhill.net,,,Foundation Potential (Rolling)
