External ID,Name,Location,Area of interest,Account Information,Documentation and Requirements,Grant Amount,Due Date,EIN,Application Status,Outreach,Research_Links__c,Internal_Notes__c,Relationship,Contact 1 NameRaw,Contact 2 NameRaw,Contact 3 NameRaw,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,Source_Sheet__c
communitasamericamicrogrant,Communitas America Micro-Grant,NYC ,"Communitas Micro-grant program provides New York City start-ups, small businesses, and nonprofits with small amounts of funding ranging from $250-$2,500. This initiative is geared toward entrepreneurs facing barriers that prevent them from achieving meaningful growth and impact.   ",Login Link - NO ACCOUNT NEEDED ,RFP ,,Rolling ,Response Received: Unable to support our funding needs ,,,"https://www.surveymonkey.com/r/Y5ZJD5L
https://mail.google.com/mail/u/0/#search/potential+grant+opportunities/QgrcJHshZXBJQkZchbZGXdZVJjhPZgHCbwg",,,Edward Greenwood,,,Edward Greenwood,,,egreenwood@communitasamerica.org,,,Foundation Not Applicable
patricjmcgovernfoundation,Patric J McGovern Foundation,Massachusetts ,Connects nonprofit organizations around the world with expert technical guidance and practical hands-on experience using advanced data approaches and tools that can unlock new pathways to impact. ,No open Opportunities,https://www.mcgovern.org/,Differing amounts,Differing due dates,,,Grants for STEM programs only ,https://www.mcgovern.org/,Grants for STEM programs only ,,Nikita Japra,,,Nikita Japra, Alisa Orlowsky,,datapractice@mcgovern.org,,,Foundation Not Applicable
zegarfamilyfoundation,Zegar Family Foundation,New York,"- Education – Supporting educational institutions, primarily in the higher educational area and providing college access and success for the less advantaged students who desire to attend them.                                                                                                              - Human Services and Economic Opportunity – Helping disadvantage people help themselves through opportunities for economic growth and/or personal development.",No open Opportunities,https://sites.google.com/zegarff.org/zegarfamily/,,,"Response Received: Grant proposals are by invitation only and we currently do not accept unsolicited grant proposals. Therefore, we will not be responding to applications for funding from the Foundation, informational materials about new organizations or funding initiatives and/or requests for meetings with the Trustees or other Foundation staff. No follow-up on these types of correspondence is necessary.",,,"https://sites.google.com/zegarff.org/zegarfamily/
https://mail.google.com/mail/u/0/#search/info%40zegarff.org/FMfcgzQVzFbDqKMPtqZznGrXTxrJzNWS?compose=CllgCJqbQMQXZWlMmfJzmdKngmMDVPMsnbHQBXShXrhQHKbdTCGCXhmgpVclRTGZLfWQxhHsHCg",,,,,,,,,info@zegarff.org,,,Foundation Not Applicable
themoriahfund,The Moriah Fund,All throughout the country ,"- Moriah’s grant-making programs: Promote democratic principles in Israel, Support access to high quality education, Promote human rights and social justice, & Promote women’s rights and reproductive health Grant Overview",Account needed,LOI,50k,Rolling,"RESPONSE RECEIVED: Thank you for your inquiry to The Moriah Fund. We appreciate the time you took to share your organization’s vision and work. Unfortunately, we are unable to move forward with your request.",,Pending LOI submission,"https://www.grantinterface.com/Home/Logon?urlkey=moriahfund
https://mail.google.com/mail/u/0/#inbox/QgrcJHsblSRHGvjcDxJKztdphGBCVhDVgXB",Pending LOI submission,,Alice Johnson Cain,,,Alice Johnson Cain,,,acain@moriahfund.org, info@moriahfund.org,,Foundation Not Applicable
thetowfoundation,The Tow Foundation,Connecticut  and New York ,"we support visionary leaders and nonprofit organizations that serve historically marginalized populations, help individuals contribute to their communities, and champion advancements and experiences that make it possible for all people to live healthy and joyous lives.",account needed ,-- ,108k average,rolling,"Response Received: Unfortunately, we are not able to consider your request for support at this time because your organization’s work falls outside our primary impact areas.",,,"https://thetowfoundation.my.site.com/login
https://mail.google.com/mail/u/0/#search/info%40towfoundation.org/KtbxLrjRdwxttZMpDWKvTdSgrMXpMwbMWg",,,Angela Leis,,,Angela Leis, Susan Ransden,,info@towfoundation.org,,,Foundation Not Applicable
macarthurfoundation,MacArthur Foundation,all throughout the country ,"
Our goal is to see MacArthur’s applicants and grantee partners—and the nonprofit community more broadly—thrive. We hope that this is a useful resource that conveys our respect for the time, effort, and creative energy that organizations invest in identifying resources to support their missions. At MacArthur, our learning continues as we seek to become a more transparent, responsive, and values-aligned grantmaker.
",account needed,Invite only- application,20k-1M,rolling,"Response Received: Although the work you describe is valuable, it falls outside of our current grantmaking strategies.",,,"https://macfound.fluxx.io/user_sessions/new
https://www.macfound.org/media/article_pdfs/grant-illustration-process.pdf
https://mail.google.com/mail/u/0/#inbox/KtbxLxGkLHLVQdMhCGkPHKxdZSCCcfBfcL",,,Gabriela Suarez,,,Gabriela Suarez, Nida Abbasi,,gsuarez@macfound.org, nabbasi@macfound.org,,Foundation Not Applicable
theharnischfoundation,The Harnisch Foundation,New York,"The Fall 2017 school semester saw our official, strategically significant launch with partner organizations that share our desire to supercharge girls’ leadership, especially in advancing social justice values. Primarily serving Black and Brown girls in under-resourced communities, our partners (collectively) welcome thousands of children in during the school day and in out-of-school time programs.",account not needed,Does not accept unsolicited applications,1k-100k,reach out to them ,Response Received: We are not a match for funding. We’re currently devoting the bulk of our youth investments to our own program (primarily supporting Black and brown girls in developing their leadership skills),,,"https://thehf.org/faq/
https://mail.google.com/mail/u/0/#search/jenny%40thehf.org/QgrcJHsBvFWFhnqPKSxvzcrFFdsRTdssctv",,,Jenny Raymond,,,Jenny Raymond,,,jenny@thehf.org, info@thehf.org,,Foundation Not Applicable
roberttonybadercharitablefoundation,Robert & Tony Bader Charitable Foundation ,Indiana,"We sponsor new programs and projects that further Jewish Ideals through Science, Education, and the Arts.",account needed ,fill out eligibility quiz,varying amounts ,rolling ,Response Received: We're sorry but your organization does not currently meet our grant process qualification requirements.,,,"https://app.rtbaderfoundation.org/accounts/login/?next=/
https://app.rtbaderfoundation.org/eligibility/quiz/
https://mail.google.com/mail/u/0/#inbox/FMfcgzQXJQLbQCCxWwHlCgXzDdtktsGZ",,,Jamie Carmody (according to zoominfo),,,Jamie Carmody (according to zoominfo),,,grants@rtbaderfoundation.org,,,Foundation Not Applicable
thepeterandcarmenluciabuckfoundation,The Peter and Carmen Lucia Buck Foundation ,PCLB’s funding is targeted primarily to Connecticut and New York,"- PCLB funds with a goal to provide all students the opportunities afforded by a high quality, K-12 public education – one that fully prepares them for success in life",Account needed,Invite Only- Full application,Varying amounts from 70k-1M  ,Winter: End of November- Third Friday of December                                                   Spring: Mid-Feburary- First Friday of March ,"Response Received: While we admire your organization, the PCLB Foundation's education program area is focused on growing and strengthening the charter sector and teacher preparation programs. As a result, there is no fit for funding. Thank you again for your inquiry.",,,"https://us.grantrequest.com/Login.aspx?ReturnUrl=%2faccountmanager.aspx%3fSA%3dAM%26sid%3d2095&SA=AM&sid=2095
https://mail.google.com/mail/u/0/#inbox/KtbxLwgVSfklhRkdlnpCWPkxXBVmzcCcvq",,,Angela Andrade,,,Angela Andrade, Julie Wong,,juliew@pclbfoundation.org, angelaa@pclbfoundation.org,,Foundation Not Applicable
herbblockfoundationdefendingbasicfreedomsgrant,Herb Block Foundation - Defending Basic Freedoms Grant,all throughout the country ,"This program helps safeguard the basic freedoms guaranteed in our Bill of Rights, to help eliminate all forms of prejudice and discrimination, and to assist government agencies to be more accountable to the public. The Herb Block Foundation will also consider contemporary societal issues that may arise. Grants are available nationwide.",Account Needed - CREATED!,LOI ,Up to 25k,LOI DUE OCT 2,"Response Received: Thank you for reaching out and providing the attachment so we can see a summary of the work of your organization. I am sorry but your program does not fit in our program areas.

We support your type of services in our Pathways Out of Poverty program area but that is limited to serving the Washington, DC Metropolitan area only.",,,"https://us.grantrequest.com/Login.aspx?ReturnUrl=%2fapplication.aspx%3fSA%3dSNA%26FID%3d35026%26sid%3d2014&SA=SNA&FID=35026&sid=2014
https://mail.google.com/mail/u/0/#inbox/KtbxLwGrRNNqCQZtGWfzvvPGrDvFNvrGBq",,,Marcela Brané,,,Marcela Brané, Sarah Armstrong Alex,,Mbrane@herbblock.org, Salex@herbblock.org,,Foundation Not Applicable
theisabelallendefoundation,The Isabel Allende Foundation,Only support Chili and California,"We invest in the power of women and girls to secure reproductive rights, economic independence and freedom from violence.",Invitation-only proposals.,Invite only ,1k-10k,Not listed,,,SUPPORTING ONLY CALI & CHILI ,https://isabelallende.org/docs/IAF_EsperanzaGrantReportForm.pdf?Rkpxhwg10,SUPPORTING ONLY CALI & CHILI ,,Lori Barra,,,Lori Barra,,,lori@isabelallende.org,,,Foundation Not Applicable
thecarrollandmiltonpetriefoundation,"
The Carroll and Milton Petrie Foundation",New York,"- The Foundation supports innovative programs and practices that improve readiness for and connection to higher education, enable students to thrive and succeed in college, and increase access to high potential careers upon graduation.",account needed ,,,100k(according to Grant Bay),Desiree was previously reached out to          could not find grant application information,,Nicole Outreach: 8/20,"https://us.grantrequest.com/Login.aspx?ReturnUrl=%2faccountmanager.aspx%3fSA%3dAM%26sid%3d5759&SA=AM&sid=5759
https://grantbay.org/form-990/201451752",Nicole Outreach: 8/20,,Desiree Vazquez,,,Desiree Vazquez, Cass Conrad,,desiree.vazquez@gmail.com, cass.conrad@gmail.com,,Foundation Not Applicable
dcuforkidsgrants,DCU For Kids Grants,Massachusetts - Funds nationally! ,DCU for Kids is proud to help organizations with deserving causes and charities benefitting children and families.,Website Link - Account created ,RFP ,"Instrumentl says $12,500 average grant size ",Rolling,Messaged via LinkedIn 5/16,,Sent contact form - Submit RFP IN JUNE,https://www.dcuforkids.org/grants/,Sent contact form - Submit RFP IN JUNE,,David Araujo,,,David Araujo, Sarah Hunt,,,,,Foundation Not Applicable
reimanfoundationinc,"Reiman Foundation, Inc.",Wisconsin,"The Reiman Foundation provides grants to organizations that focus on health care, education, the arts, or children.",Guidelines - No account needed (Email Proposal to reimanfoundation@hexagoninc.com),Full Application ,,Rolling ,"Followed up & sent to general contact email 3/27 - RESPONDED: unable to meet, does not fund NYC!  ",,,http://www.reimanfoundation.org/applicationguidelines/,,,Scott Reiman,,,Scott Reiman, Michael J. Hipp,,reimanfoundation@hexagoninc.com, sjr@hexagoninc.com,,Foundation Not Applicable
thewallacefoundation,The Wallace Foundation,New York,"- The organizations we fund to develop and test possible solutions to important public problems;
- The researchers whom we commission to contribute to the field's knowledge and to help evaluate what is and is not working; and
- The organizations that help us get both issues and solutions before policymakers, field leaders and those who can otherwise influence policy and practice.",Does not accept unsolicited proposals ,Invite only ,-- ,,First outreach 11/8                   Reached out 5/28,,,https://www.wallacefoundation.org/about-wallace/pages/funding-guidelines.aspx,,,Gigi Antoni,,,Gigi Antoni, Claudia DeMegret,,grantrequest@wallacefoundation.org, gantoni@wallacefoundation.org,,Foundation Not Applicable
newyorkfoundation,New York Foundation ,NYC Based ,"To strengthen organizational capacity to sustain and advance its work, especially during these unpredictable times; alleviating ongoing challenges organization faces due to the pandemic and its aftermath, we aim to be as understanding, flexible, and responsive as possible.                                                                                                    Must: Use community organizing & grassroots advocacy as primary strategies to address the root causes of oppression",Application Process - Account needed ,LOI,In 2024 NYF will have only 1 grant cycle due March 1,"$47,500 per year, up to 3 years for established groups and 5 years for emerging groups.",Outreach conducted 5/28,,Get this submitted ,https://www.nyf.org/apply,Get this submitted ,,Rickke Mananzala,,,Rickke Mananzala, Edna Iriarte,,requests@nyf.org, rmananzala@nyf.org,,Foundation Not Applicable
danpaulfoundationgrants,DanPaul Foundation Grants,no geographical limitations for grant requests ,"The Foundation will also encourage children to be concerned and informed about the environment and the underprivileged, particularly with regard to clean air and water, and adequate housing and nutrition for all.",Website Link -Fill out form to be invited for grant (form was filled out 3/12) - NO ACCOUNT NEEDED ,RFP ,,Rolling ,Filled out form to be considered for grant opportunity  & messaged via linkedin,,,http://www.danpaulfoundation.org/grant-funding-guidelines/,,,Libby Cornett,,,Libby Cornett,,,danpaulfoundation@gmail.com,,,Foundation Not Applicable
