External ID,Name,Location,Area of interest,Account Information,Documentation and Requirements,Grant Amount,Due Date,EIN,Application Status,Outreach,Research_Links__c,Internal_Notes__c,Relationship,Contact 1 NameRaw,Contact 2 NameRaw,Contact 3 NameRaw,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,Source_Sheet__c
nycgov-ccnsf,NYC Gov - CCNSF,New York City,,,,,,,Need to begin drafting application,,,"Apply for 2025. Application due date: November 12, 2024",Government,,,,,,,,,,Government NYC Initiatives
nycgov-blaccaucus,NYC Gov - BLAC Caucus,New York City,,,,,,,,"Address email to Brandon, cc BLAC Caucas + Katie",,Do outreach to Katie - They know about L.O.V.E. : Introduce myself and say we are interested in setting up a meeting to discuss our interest in strengthening our partnership,Government,Brandon Clarke,"Katie Loeb, Deputy Chief of Staff for District 2",,Legislative Administrative Manager,,,BClarke@council.nyc.gov,KLoeb@council.nyc.gov,,Government NYC Initiatives
nycgov-womenscaucus,NYC Gov - Women’s Caucus,New York City,,,,,,,,,,"Reach out to Julie with same language as Katie; Additional members: Carlina Rivera, Diana Ayala, Kristy Marmorato, Pierina Sanchez, Sandra Ung, Tiffany Cabán, Jennifer Gutiérrez",Government,Julie Menin,General Email:,Carmen De La Rosa,Co-Chair,,Co-Chair,District5@council.nyc.gov,WomensCaucus@council.nyc.gov,District10@council.nyc.gov,Government NYC Initiatives
nycgov-brooklyndelegation,NYC Gov - Brooklyn Delegation,New York City,,,,,,,,,,"Additional members: Farah Louis, Jennifer Gutiérrez",Government,May Vutrapongvatana,Anthony Drummond; Chief of Staff for District 45,Chi A. Ossé,Director of Policy and Budget Initiatives,,Co-Chair,mvutrapongvatana@council.nyc.gov,ADrummond@council.nyc.gov,,Government NYC Initiatives
nycgov-queensdelegation,NYC Gov - Queens Delegation,New York City,,,,,,,Receiving funding,,,"Additional members: Shekar Krishnan, Tiffany Cabán, James Gennaro",Government,Adrienne E. Adams,Jennifer Gutiérrez,Sandra Ung,The Speaker,Committee Member,Council Member,Adams@council.nyc.gov,District34@council.nyc.gov,District20@council.nyc.gov,Government NYC Initiatives
nycgov-manhattandelegation,NYC Gov - Manhattan Delegation,New York City,,,,,,,Receiving funding,,,,Government,Christopher Marte,Erik D. Bottcher,,Co-Chair,Co-Chair,,District1@council.nyc.gov,District3@council.nyc.gov,,Government NYC Initiatives
nycgov-bronxdelegation,NYC Gov - Bronx Delegation,New York City,,,,,,,,,,"Additional members: Kristy Marmorato, Pierina Sanchez, Rafael Salamanca, Amanda Farías, Tiffany Cabán",Government,Althea Stevens,Eric Dinowitz,Diana Ayala,Co-Chair,Co-Chair,Council Member,District16@council.nyc.gov,District11@council.nyc.gov,DAyala@council.nyc.gov,Government NYC Initiatives
nycgov-committeeonwomenandgenderequity,NYC Gov - Committee on Women and Gender Equity,New York City,,,,,,,,,,,Government,Farah Louis,Jennifer Gutiérrez,Tiffany Cabán,Chairperson,Committee Member,Council Member,District45@council.nyc.gov,District34@council.nyc.gov,District22@council.nyc.gov,Government NYC Initiatives
nycgov-committeeonchildrenandyouth,NYC Gov - Committee on Children and Youth,New York City,,,,,,,,,,Reach out and express interest,Government,Althea Stevens,,,Chairperson,,,District16@council.nyc.gov,,,Government NYC Initiatives
nycgov-committeeoneducation,NYC Gov - Committee on Education,New York City,,,,,,,,,,"Additional members: Pierina Sanchez, Shekar Krishnan",Government,Rita Joseph,James Gennaro,Jennifer Gutiérrez,Chairperson,Council Member,Committee Member,District40@council.nyc.gov,gennaro@council.nyc.gov,District34@council.nyc.gov,Government NYC Initiatives
nycgov-committeeoncivilandhumanrights,NYC Gov - Committee on Civil and Human Rights,New York City,,,,,,,Receiving funding,,,,Government,Christopher Marte,Rafael Salamanca,,Council Member,Council Member,,District1@council.nyc.gov,Rsalamanca@council.nyc.gov,,Government NYC Initiatives
nycgov-afterschoolenrichmentinitiative,NYC Gov - Afterschool Enrichment Initiative,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-childhealthwellness,NYC Gov - Child Health & Wellness,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-collegecareerreadiness,NYC Gov - College & Career Readiness,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-communityschools,NYC Gov - Community Schools,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-socialemotionalsupportsforstudents,NYC Gov - Social & Emotional Supports for Students,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-youngwomensleadershipdevelopment,NYC Gov - Young Women’s Leadership Development,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-workbasedlearninginternships,NYC Gov - Work Based Learning Internships,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-educationalprogramsforstudents,NYC Gov - Educational Programs for Students,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-speakersinitiative,NYC Gov - Speakers Initiative,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-stars,NYC Gov - STARS,New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
nycgov-dovedomesticviolenceempowerment,NYC Gov - DoVE (Domestic Violence Empowerment),New York City,,,,,,,,,,,Government,,,,,,,,,,Government NYC Initiatives
