External ID,Name,Location,Area of interest,Account Information,Documentation and Requirements,Grant Amount,Due Date,EIN,Application Status,Outreach,Research_Links__c,Internal_Notes__c,Relationship,Contact 1 NameRaw,Contact 2 NameRaw,Contact 3 NameRaw,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,Source_Sheet__c
hispanicfederation2026upliftnewyorkstate,Hispanic Federation 2026 UPLift New York State,New York,"Hispanic Federation (HF) is issuing a Request for Proposals (RFP) to member agencies and allies for the
implementation of a targeted campaign to provide health access and literacy, economic empowerment
programming, and basic needs services to New York’s communities of color, particularly
bilingual/bicultural communities.",Portal ,Full Application,,"February 6, 2026",13-3573852,Submitted 2/5/2026,,,,Prospect,Gonzalo Loayza,,,,,,gloayza@hispanicfederation.org,,,Foundation Potential (Deadlines)
viapathfoundation,ViaPath Foundation,Nationwide,"Empowering at-risk communities by supporting youth, advancing advocacy, and building meaningful career pathways",ViaPath Foundation ,"Be a 501(c)(3) nonprofit organization or apply using a fiscal sponsor 

Provide proof of IRS federal tax-exempt status 

Submit an anti-discrimination statement adopted by the board 

Provide financial documentation, including budget information and list of major contributors 

Complete required narrative sections including evaluation expectations and inclusiveness ","cap of $50,000 over a three-year period","February 20, 2026",87-4626071,Submitted 2/20/2026,,https://www.viapathfoundation.org/news/viapath-foundation-opens-2025-grant-application-process/,,Prospect,,,,,,,info@viapath-foundation.org,,,Foundation Potential (Deadlines)
spectrumdigitaleducationgrant,Spectrum Digital Education Grant,Communities in Spectrum market,"digital skills training, technology access, digital literacy, workforce readiness, and educational opportunitie",Spectrum Digital Education Grant,"Focus on families or seniors.
Be able to report to Spectrum the following metrics: number of people impacted, population served and demographics.
Partner with low-income rural and/or urban communities.
Be an existing program, already serving our community.
Meet the unique needs of its community and align with the nonprofit’s current mission.
Have a lasting, meaningful and tangible impact (e.g. development of a new digital site or app, expansion of the capacity of a digital learning center, creation of a mobile computer lab, etc.)","$2,500 - $50,000","February 27, 2026",N/A,Submitted 2/27/2026,,https://forms.benevity.org/7d8320b4-3a3d-4b7d-9c72-d8f2abc91337?submissionKey=4d6422a8-4029-4337-8037-947f9768819e,,Prospect,,,,,,,DigitalEdGrant@spectrum.com,,,Foundation Potential (Deadlines)
marysmulligancharitabletrustbankofamerica,Mary S. Mulligan Charitable Trust (Bank of America),"New York, Pennsylvania, Michigan, Massachusetts, and other states.","arts, culture, and humanities, education, health, human services, and general charitable purposes including religious, scientific, literary, and educational programming or prevention of cruelty to children or animals.",Mary Mulligan Portal,"Must be a tax-exempt nonprofit (501(c)(3)) organization.

Recipients appear to be other charitable nonprofits in areas aligned with the Trust’s interests.","  $2,000 up to about $36,150",March 1 ; September 1,16-6076169,Submitted 3/1/2026,,https://bofa-gh.foundationsource.com/login,,Prospect,,,,,,,ct.grantmaking@bofa.com,,,Foundation Potential (Deadlines)
americaneaglefoundation,American Eagle Foundation,United States + Canada,Mental health & well-being of young people,American Eagle Portal,"Organizations that are certified 501(c)3 nonprofits in the United States or are registered charities in Canada are eligible to apply. Individuals, corporations and other entities will not be accepted. The proposal must show that funding will be used to support programming or goals that positively impacts the mental health and well-being of teens and/or young adults to empower authenticity and a better future for all.

Organizations can apply and receive funding once per year. The organization will need to spend the funding and submit a final report before reapplying. Reapplying for funding does not guarantee that you will be awarded. ","$5,000 - $15,000","
 March 2, 2026; August 10, 2026",25-1827476,Submitted 3/2/2026,,https://webportalapp.com/sp/login/aefoundation,,Prospect,,,,,,,AEFoundation@ae.com,,,Foundation Potential (Deadlines)
unidosuspionerasenstem,UnidosUS – Pioneras en STEM,United States,"STEM education, Latina women, workforce development, higher education, leadership, minority communities", Portal,"Application Requirements:

• Proof of nonprofit/affiliate eligibility or fiscal sponsorship if allowed.
• Description of target students, especially Latina high school students.
• STEM curriculum or program model.
• Mentorship/career exposure plan.
• Participant recruitment and retention plan.
• Outcome tracking plan for graduation, postsecondary enrollment, STEM interest, career exposure, and completion.
• Staff qualifications and implementation timeline.
• Program budget and sustainability plan.","$20,000",April 1,86-0212873,Submitted 4/1,,https://www.ccnsfund.org/apply,,Prospect,— Contact,,,—,,,,,,Foundation Potential (Deadlines)
unidosusescaleras,UnidosUS – Escaleras,United States,"Education, workforce readiness, economic mobility, Latino communities, career pathways, youth development", Portal,"Application Requirements: 

• Youth college/career readiness program narrative.
• Description of Latino high school youth served.
• Curriculum or implementation plan.
• Case management/student support model.
• Internship, employer, college, or workforce partnerships.
• Outcome plan for postsecondary enrollment, career readiness, leadership, financial empowerment, and persistence.
• Staffing plan, timeline, budget, and evaluation plan.","$40,000",April 1,86-0212873,Submitted 4/1,,https://www.ccnsfund.org/apply,,Prospect,— Contact,,,—,,,,,,Foundation Potential (Deadlines)
thefrancesledwinlcummingsmemorialfund,The Frances L. & Edwin L. Cummings Memorial Fund,"New York City (Bronx, Manhattan, Queens, Brooklyn, Staten Island) and the five Northeastern New Jersey counties of Bergen, Essex, Hudson, Passaic, and Union.","Education, youth, women",Frances & Edwin Fund,Proposal Requirements,"Average - $70,000",4/1/2026; 10/1/2026,13-6814491,Submitted 4/1/2026,,"https://cummingsfund.org/proposal-requirements/?utm_source=chatgpt.com
https://cummingsfund.org/proposal-requirements/",,,,,,,,,info@cummingsfund.org,,,Foundation Potential (Deadlines)
laurabvoglerfoundation,Laura B. Vogler Foundation,"New York City, Long Island, and Westchester, NY.","health, well-being, education of children, disadvantaged populations, and the elderly; generally program/project support.",Laura B. Volger Application (submit via email to voglerfound@gmail.com),"are located in New York City or Long Island;

are tax exempt under 501 (c) (3) of the Internal Revenue Code;

promote the health, well being, and education of children, the disadvantaged and the elderly; and

primarily fund specific programs or projects rather than general operating support or capital programs.","$3,000–$4,000",July 1; October 1,11-6022241,Submitted 4/1/2026,,https://drive.google.com/file/d/0Bz3iBm8H_oMTdDYwamx3VVFqUlE/view?resourcekey=0-puWtKUW4I3RpiFb5jMq42Q,,Prospect,,,,,,,voglerfound@gmail.com,,,Foundation Potential (Deadlines)
williamtgrantfoundationyouthserviceimprovementgrant,William T. Grant Foundation (Youth Service Improvement Grant),New York City,"Financial management, board recruitment and development, human resource management, staff training, fundraising, strategic planning, information technology, leadership development, communications, evaluation systems.",William Grant Application Portal,William T. Grant Application Guidelines,"$25,000",Apr 1,13-1624021,Submitted 4/1/2026,,"https://wtg.smartsimple.com/s_Login.jsp
https://wtgrantfoundation.org/wp-content/uploads/2026/01/2026-Application-Guide-YSIG.pdf",,Prospect,Nancy Rivera-Torres,,,Grants Administrator,,,nrivera@wtgrantfdn.org,,,Foundation Potential (Deadlines)
