Account1 External ID,Name,Location,Area of interest ,Account Information ,Documentation and Requirements ,Grant Amount,Due Date,EIN,Application Status,Outreach,Notes,Relationship
hispanicfederation2026upliftnewyorkstate,Hispanic Federation 2026 UPLift New York State,New York City,"Hispanic Federation (HF) is issuing a Request for Proposals (RFP) to member agencies and allies for the implementation of a targeted campaign to provide health access and literacy, economic empowerment programming, and basic needs services to New York's communities of color, particularly bilingual/bicultural communities.",Portal ,"- Must be a 501(c)(3) nonprofit or have a fiscal sponsor
- Must serve communities in New York State
- Must provide culturally and linguistically responsive services
- Programs must align with one or more priority areas:
1. Language access
2. Civic education
3. Workforce training
4. Educational advancement
- Must demonstrate community impact and organizational capacity
- Grant requests cannot exceed 30% of the organization's annual operating budget
- Must submit required organizational documents (IRS determination letter, budget, etc.)
- Programs should support underserved and/or Latino communities and improve socioeconomic outcomes.",,February 6 2026,13-3573852,Submitted 2/5/2026,,Funder,Funder
viapathfoundation,ViaPath Foundation,Nationwide,Empowering at-risk communities by supporting youth advancing advocacy and building meaningful career pathways,ViaPath Foundation ,"- Be a 501(c)(3) nonprofit organization or apply using a fiscal sponsor
- Provide proof of IRS federal tax-exempt status
- Submit an anti-discrimination statement adopted by the board
- Provide financial documentation including budget information and list of major contributors
- Complete required narrative sections including evaluation expectations and inclusiveness",cap of $50000 over a three-year period,February 20 2026,87-4626071,Submitted 2/20/2026,,Funder,Funder
spectrumdigitaleducationgrant,Spectrum Digital Education Grant,Communities in Spectrum market,digital skills training technology access digital literacy workforce readiness and educational opportunities,Spectrum Digital Education Grant,"Focus on families or seniors.
Be able to report to Spectrum the following metrics: number of people impacted, population served and demographics.
Partner with low-income rural and/or urban communities.
Be an existing program, already serving our community.
Meet the unique needs of its community and align with the nonprofit's current mission.
Have a lasting, meaningful and tangible impact",$2500 - $50000,February 27 2026,N/A,Submitted 2/27/2026,,Funder,Funder
marysmulligancharitabletrustbankofamerica,Mary S. Mulligan Charitable Trust (Bank of America),"New York, Pennsylvania, Michigan, Massachusetts, and other states.","arts, culture, and humanities, education, health, human services, and general charitable purposes including religious, scientific, literary, and educational programming or prevention of cruelty to children or animals.",Mary Mulligan Portal,Must be a tax-exempt nonprofit (501(c)(3)) organization.,$2000 up to about $36150,March 1 September 1,16-6076169,Submitted 3/1/2026,,Funder,Funder
americaneaglefoundation,American Eagle Foundation,United States + Canada,Mental health & well-being of young people,American Eagle Portal,"Organizations that are certified 501(c)3 nonprofits in the United States or are registered charities in Canada are eligible to apply. Individuals, corporations and other entities will not be accepted.",$5000 - $15000,March 2 2026,25-1827476,Submitted 3/2/2026,,Funder,Funder
thefrancesledwinlcummingsmemorialfund,The Frances L. & Edwin L. Cummings Memorial Fund,"New York City (Bronx, Manhattan, Queens, Brooklyn, Staten Island) and the five Northeastern New Jersey counties of Bergen, Essex, Hudson, Passaic, and Union.","Education, youth, women",Frances & Edwin Fund,Proposal Requirements,Average - $70000,4/1/2026 10/1/2026,13-6814491,Submitted 4/1/2026,,Funder,Funder
laurabvoglerfoundation,Laura B. Vogler Foundation,"New York City, Long Island, and Westchester, NY.","health, well-being, education of children, disadvantaged populations, and the elderly; generally program/project support.",Laura B. Volger Application,"are located in New York City or Long Island;
are tax exempt under 501(c)(3) of the Internal Revenue Code;
promote the health, well being, and education of children, the disadvantaged and the elderly",$3000-$4000,July 1 October 1,11-6022241,Submitted 4/1/2026,,Funder,Funder
williamtgrantfoundationyouthserviceimprovementgrant,William T. Grant Foundation (Youth Service Improvement Grant),New York City,"Financial management, board recruitment and development, human resource management, staff training, fundraising, strategic planning, information technology, leadership development, communications, evaluation systems.",William Grant Application Portal,William T. Grant Application Guidelines,$25000,April 1 2026,13-1624021,Submitted 4/1/2026,,Funder,Funder
unidosuspionerasenstem,UnidosUS – Pioneras en STEM,United States,"STEM education, Latina women, workforce development, higher education, leadership, minority communities",Portal,"Application Requirements:
- Proof of nonprofit/affiliate eligibility
- Description of target students especially Latina high school students
- STEM curriculum or program model
- Mentorship/career exposure plan",$20000,April 1,86-0212873,Submitted 4/1,,Funder,Funder
unidosusescaleras,UnidosUS – Escaleras,United States,"Education, workforce readiness, economic mobility, Latino communities, career pathways, youth development",Portal,"Application Requirements:
- Youth college/career readiness program narrative
- Description of Latino high school youth served
- Curriculum or implementation plan",$40000,April 1,86-0212873,Submitted 4/1,,Funder,Funder
