External ID,Name,Location,Area of interest,Account Information,Documentation and Requirements,Grant Amount,Due Date,EIN,Application Status,Outreach,Research_Links__c,Internal_Notes__c,Relationship,Contact 1 NameRaw,Contact 2 NameRaw,Contact 3 NameRaw,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,Source_Sheet__c
conedison,Con Edison,NYC,"Con Edison's grant funding priority areas: climate change & environmental stewardship, clean energy and technology careers, or social justice",,Concept Paper then Full Application,,Concept Paper due April 30,,Submitted (March-April). ConEdison replied with the inquiry form; application/inquiry is in ConEdison's review workflow.,,,,,,,,,,,,,,Corporate 2026
nbcuniversal,NBC Universal,NBC Cities,"Comcast NBCUniversal, NBC and Telemundo owned television stations will fund organizations doing work in three specific areas: Youth Education and Empowerment, Next Generation Storytellers and Community Engagement.",NBC Community Impact,,"$227,000",,,"NBC Universal: Applied to NBCU Local Impact Grants (WNBC/WNJU); ""Thank you for applying"" confirmation received 09/08.",,https://www.localimpactgrants.com/,,,,,,,,,,,,Corporate 2026
thecitifoundation,The Citi Foundation,,"The Citi Foundation is focused on programs that help young people, ages 16-24, to link education goals with leadership skills training.",Grant Guidelines,,,,Claudia emailed on 2/10 to follow up on program eligibility opportunities.,The Citi Foundation: Meeting with Kenya Bryant/Citi Foundation held in early November; added us to Citi's newsletter; monitor posted RFPs.,,https://www.citigroup.com/citi/foundation/about/2022-Citi-Foundation-Guidelines.pdf?ieNocache=682,,,Kenya Bryant,,,Kenya Bryant,,,kenya.bryant@citi.com,,,Corporate 2026
citifoundation,Citi Foundation,United States,The Citi Foundation works to promote economic progress and improve the lives of people in low-income communities around the world.,,Check for open RFPs at this link,,"2025 Global Innovation Challenge was due on March 4, 2025. Not clear when another RFP will open.",,Citi Foundation: (duplicate) Same as above — meeting with Kenya Bryant; added to Citi newsletter; monitor RFPs.,,https://www.citigroup.com/global/foundation/apply-for-funding,,,Kenya Bryant,,,Kenya Bryant, Charlotte Gauthier,,kenya.bryant@citigroup.com, charlotte.gauthier@citigroup.com,,Corporate 2026
wellsfargofoundation,Wells Fargo Foundation ,Funds NYC ,Wells Fargo and the Wells Fargo Foundation collaborate with a wide range of national and local nonprofit organizations.,Link to Eligibility & Grant Process,Nonprofits that have not been invited to apply but align with our strategic focus areas may register and submit a Grant Interest Form.,"$50,000",INVITE ONLY - No Date Listed,"RE: Due to the large number of requests we receive, we don't discuss grant proposals before they are submitted.",Wells Fargo Foundation: Outreach with attachment sent 10/29 to Catherine Domenech; no substantive program reply in inbox.,,https://www.wellsfargo.com/about/corporate-responsibility/community-giving/grant-process/,,,Catherine Domenech,,,Catherine Domenech, Cindy Zavala Diaz,,catherine.domenech@wellsfargo.com,,,Corporate 2026
costco,Costco ,Funds NYC,Our Charitable Contributions Committee is charged with overseeing our charitable giving.,Link to Application ,Full Application ,"$10,000",Rolling ,,Costco: Costco acknowledged receipt (Ref#2025040559); application received/under review.,,https://forms.benevity.org/eb5f89d4-4631-4c20-8681-0186712671a0,,,,,,,,,,,,Corporate 2026
, Deloitte,,"The Deloitte Foundation supports education initiatives benefiting high school students, undergraduate, graduate students and educators.",,,,"Erin Scanlon - President | Deloitte Foundation
escanlon@deloitte.com
Kathy Shoztic- Executive Director, Deloitte Foundation
kshoztic@deloitte.com
",,Deloitte: Kathy Shoztic replied 10/29 / 11/12 noting Deloitte Foundation commitments prevent support now; forwarded to Deloitte NY social impact team.,,,deloitte,Corporate,,,,Foundation,Foundation,,,,,Corporate 2026
resortworld,Resort World,NYC,Our Corporate Social Responsibility efforts operate through the Resorts World Gives (RWG) program.,,,"Up to $50,000",Rolling,JC 6/9,Resort World: Outreach with attachment sent 10/29 to Michelle Stoddart (rwnewyork); no substantive reply found.,,,,,Michelle Stoddart,,,Michelle Stoddart,,,Michelle.Stoddart@rwnewyork.com,,,Corporate 2026
tjmaxxtjxcommunitymissiongrant,TJ Maxx : TJX Community Mission Grant,NYC,Our Community Mission is to provide great value to our communities by helping vulnerable families and children.,,,,"LOI due October 31st, 2026",,"After LOI is submitted, organization's that are eligible will get an invitation to apply to the actual grant.",,https://bbgm-apply.yourcausegrants.com/apply/programs/53bddde2-2ca7-423f-ba00-d1855053f57d/apply,,,,,,,,,,,,Corporate 2026
citifoundation,Citi Foundation ,NYC,RFP - Community Finance Initiative - Advancing the financial resilience of low-income households across the U.S.,,,,LOI due 2/18 /2026 at 12:00 PM,Claudia emailed on 2/18 ,,,,,,Kenya Bryant,,,Kenya Bryant,,,kenya.bryant@citi.com,,,Corporate 2026
